"","t","NO2"
"532",1498014000,2.9
"533",1498017600,4.8
"534",1498021200,7.8
"535",1498024800,13.4
"536",1498028400,24.6
"537",1498032000,26.8
"538",1498035600,22.9
"539",1498039200,14
"540",1498042800,13.8
"541",1498046400,8.4
"542",1498050000,6
"543",1498053600,5.2
"544",1498057200,4.7
"545",1498060800,11.7
"546",1498064400,12.2
"547",1498068000,15.9
"548",1498071600,13
"549",1498075200,13.3
"550",1498078800,16.3
"551",1498082400,12.9
"552",1498086000,7.6
"553",1498089600,7.1
"554",1498093200,7.6
"555",1498096800,3.9
"556",1498100400,3.7
"557",1498104000,6.9
"558",1498107600,9.8
"559",1498111200,17.6
"560",1498114800,23.1
"561",1498118400,28.8
"562",1498122000,23.7
"563",1498125600,17.6
"564",1498129200,13.2
"565",1498132800,10
"566",1498136400,11.5
"567",1498140000,7.4
"568",1498143600,8.6
"569",1498147200,12.2
"570",1498150800,11.7
"571",1498154400,14
"572",1498158000,14.7
"573",1498161600,20.2
"574",1498165200,7.6
"575",1498168800,3.8
"576",1498172400,3.5
"577",1498176000,1.9
"578",1498179600,1.7
"579",1498183200,1.2
"580",1498186800,2.3
"581",1498190400,1.9
"582",1498194000,7.5
"583",1498197600,13.9
"584",1498201200,17.9
"585",1498204800,15.9
"586",1498208400,8.4
"587",1498212000,5.8
"588",1498215600,6.7
"589",1498219200,9
"590",1498222800,7.7
"591",1498226400,8.3
"592",1498230000,9
"593",1498233600,11.7
"594",1498237200,13
"595",1498240800,9.8
"596",1498244400,8.3
"597",1498248000,7
"598",1498251600,5.9
"599",1498255200,5.7
"600",1498258800,4.3
"601",1498262400,3
"602",1498266000,2.1
"603",1498269600,1.9
"604",1498273200,1.9
"605",1498276800,2.2
"606",1498280400,5.2
"607",1498284000,8.4
"608",1498287600,6.1
"609",1498291200,6.6
"610",1498294800,4.9
"611",1498298400,4.3
"612",1498302000,4
"613",1498305600,3.7
"614",1498309200,2.5
"615",1498312800,3
"616",1498316400,3.7
"617",1498320000,4.9
"618",1498323600,4.5
"619",1498327200,5.1
"620",1498330800,4.6
"621",1498334400,5.1
"622",1498338000,5
"623",1498341600,8.7
"624",1498345200,7.4
"625",1498348800,8.8
"626",1498352400,9.3
"627",1498356000,5.6
"628",1498359600,5.7
"629",1498363200,4.4
"630",1498366800,6
"631",1498370400,5.4
"632",1498374000,5.5
"633",1498377600,6.8
"634",1498381200,6.6
"635",1498384800,3.6
"636",1498388400,1.3
"637",1498392000,2.1
"638",1498395600,2.2
"639",1498399200,2.1
"640",1498402800,2.2
"641",1498406400,3.8
"642",1498410000,3
"643",1498413600,7.2
"644",1498417200,11
"645",1498420800,13.3
"646",1498424400,14.8
